COLLAT_claimTVL,COLLAT_finalTVL,PREM_claimTVL,PREM_finalTVL,begin_time,collateral_assets,collateral_emissions,collateral_payoff,end_time,epochBegin,epochEnd,epoch_type,full_name,hedge_ratio,name,nextepochBegin,nextepochEnd,premium,premium_assets,premium_emissions,premium_payoff,strike,total_assets,total_emissions,underlyingAssetprice,underlyingAssetsymbol,underlyingAssetvalue,total_value_locked
1862.970910997928,1724.616971868472,0.0,138.3539391294559,2022-11-23 00:00:00,1724.616971868472,13320.0000000005,138.35393912945597,2022-11-28 00:00:00,2022-11-23 00:00:00,1669593600,weekly,y2kUSDT_991* v1 weekly,0.08022299524256771,y2kUSDT_991*,1669766400,1670198400,0xa7498ab0661df78bb7ba28eab415f90a98d67a7d,138.35393912945597,26640.0000000005,-138.3539391294559,0.992,1862.970910997928,39960.000000001,1162.9799999999996,WETH,2166597.9100723695,1862.970910997928
1561.2903542984354,1462.2418437294048,0.0,99.04851056903053,2022-11-23 00:00:00,1462.2418437294045,13320.0000000005,99.04851056903067,2022-11-28 00:00:00,2022-11-23 00:00:00,1669593600,weekly,y2kDAI_996* v1 weekly,0.06773743412814,y2kDAI_996*,1669766400,1670198400,0x9ee7109adc2f6514dea1f63bcca1340a320cca9a,99.04851056903053,26640.0000000005,-99.04851056903053,0.997,1561.290354298435,39960.000000001,1162.9799999999996,WETH,1815749.4562419932,1561.290354298435
1941.0611596021015,1836.9020366260816,0.0,104.15912297601966,2022-11-23 00:00:00,1836.9020366260809,13320.0000000005,104.15912297601994,2022-11-28 00:00:00,2022-11-23 00:00:00,1669593600,weekly,y2kMIM_975* v1 weekly,0.056703689635694124,y2kMIM_975*,1669766400,1670198400,0x447deddf312ad609e2f85fd23130acd6ba48e8b7,104.15912297601973,26640.0000000005,-104.15912297601966,0.976,1941.0611596021006,39960.000000001,1162.9799999999996,WETH,2257415.30739405,1941.0611596021006
2280.2478558619177,2239.6149172515056,0.0,40.63293861041212,2022-11-30 00:00:00,2239.6149172515056,5071.0000000005,40.63293861041211,2022-12-05 00:00:00,2022-11-30 00:00:00,1670198400,weekly,y2kUSDC_997* v1 weekly,0.018142823704834745,y2kUSDC_997*,1670371200,1670803200,0x8b1676f1970859de81025f03c34f01a9ab87d56a,40.632938610412126,10143.0000000005,-40.63293861041212,0.997,2280.2478558619177,15214.000000001,1271.2170833333341,WETH,2898690.028605876,2280.2478558619177
1768.9220734315657,1732.7612239206912,0.0,36.160849510874456,2022-11-30 00:00:00,1732.761223920691,5071.0000000005,36.160849510874414,2022-12-05 00:00:00,2022-11-30 00:00:00,1670198400,weekly,y2kDAI_991* v1 weekly,0.020868916623753776,y2kDAI_991*,1670371200,1670803200,0xea0e886aec9682b99812c7ea8593015010bfa90f,36.16084951087445,10143.0000000005,-36.160849510874456,0.991,1768.9220734315654,15214.000000001,1271.2170833333341,WETH,2248683.9588316283,1768.9220734315654
1503.172383302242,1455.3350423225677,0.0,47.837340979674366,2022-11-30 00:00:00,1455.3350423225675,5071.0000000005,47.83734097967431,2022-12-05 00:00:00,2022-11-30 00:00:00,1670198400,weekly,y2kUSDT_991* v1 weekly,0.03287032854189424,y2kUSDT_991*,1670371200,1670803200,0x76b1803530a3608bd5f1e4a8bdaf3007d7d2d7fa,47.83734097967436,10143.0000000005,-47.837340979674366,0.991,1503.1723833022418,15214.000000001,1271.2170833333341,WETH,1910858.4128486924,1503.1723833022418
1760.7968435098326,1722.4502487019606,0.0,38.34659480787199,2022-11-30 00:00:00,1722.4502487019602,5071.0000000005,38.34659480787195,2022-12-05 00:00:00,2022-11-30 00:00:00,1670198400,weekly,y2kFRAX_991* v1 weekly,0.02226281707513469,y2kFRAX_991*,1670371200,1670803200,0xb4f770b552c2ceabe471e52a708585e2067deaf3,38.346594807871995,10143.0000000005,-38.34659480787199,0.991,1760.7968435098321,15214.000000001,1271.2170833333341,WETH,2238355.02774911,1760.7968435098321
1344.7296294650453,1304.0469974869923,0.0,40.68263197805308,2022-11-30 00:00:00,1304.0469974869923,5071.0000000005,40.682631978052996,2022-12-05 00:00:00,2022-11-30 00:00:00,1670198400,weekly,y2kMIM_975* v1 weekly,0.03119721302717764,y2kMIM_975*,1670371200,1670803200,0xcf86eea7d168f71c15917ad5a46279f1d6f89779,40.68263197805308,10143.0000000005,-40.68263197805308,0.975,1344.7296294650453,15214.000000001,1271.2170833333341,WETH,1709443.27744047,1344.7296294650453
430.2302599136844,420.3340164656094,0.0,9.896243448075,2022-12-07 00:00:00,420.33401646560947,4467.0000000005,9.896243448074983,2022-12-12 00:00:00,2022-12-07 00:00:00,1670803200,weekly,y2kFRAX_990* v1 weekly,0.023543760581853077,y2kFRAX_990*,1670976000,1671408000,0x51983cb503f407209b456baaa45f0f75e1a865c4,9.896243448074998,8880.0000000005,-9.896243448075,0.99,430.23025991368445,13347.000000001,1241.7338541666663,WETH,534231.478821746,430.23025991368445
681.6203565016202,673.6538505985964,0.0,7.966505903023881,2022-12-07 00:00:00,673.6538505985965,4467.0000000005,7.966505903023858,2022-12-12 00:00:00,2022-12-07 00:00:00,1670803200,weekly,y2kUSDC_997* v1 weekly,0.01182581513628251,y2kUSDC_997*,1670976000,1671408000,0x8b1676f1970859de81025f03c34f01a9ab87d56a,7.9665059030238785,8880.0000000005,-7.966505903023881,0.997,681.6203565016203,13347.000000001,1241.7338541666663,WETH,846391.0723572142,681.6203565016203
